text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
9,4,Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction.,6.63,5.39,1.24
10,0,"For this instance, the model predicted to get a man of the match award.",4.0,5.24,-1.24
10,1,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,7.68,5.24,2.44
10,2,Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction.,7.72,5.24,2.47
10,3,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,6.83,5.24,1.59
10,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.08,5.24,1.84
11,0,"For this instance, the model predicted to get a man of the match award.",4.0,5.24,-1.24
11,1,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,7.68,5.24,2.44
11,2,Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction.,7.72,5.24,2.47
11,3,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,6.83,5.24,1.59
11,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.08,5.24,1.84
12,0,"For this instance, the model predicted not to get a man of the match award.",4.24,5.42,-1.18
12,1,Goal scored (Number of goals scored) is the most important feature and has a negative influence on the prediction.,7.56,5.42,2.14
12,2,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,7.71,5.42,2.29
12,3,Passes (Total number of passes) is the third most important feature and has a negative influence on the prediction.,7.65,5.42,2.23
12,4,Off-target (Number of off-target attempts) is the 4th most important feature and has a positive influence on the prediction.,6.66,5.42,1.24
13,0,"For this instance, the model predicted to get a man of the match award.",4.0,5.24,-1.24
13,1,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,7.68,5.24,2.44
13,2,Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction.,7.72,5.24,2.47
13,3,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,6.83,5.24,1.59
13,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.08,5.24,1.84
14,0,"For this instance, the model predicted not to get a man of the match award.",4.69,5.72,-1.03
14,1,Off-target (Number of off-target attempts) is the most important feature and has a negative influence on the prediction.,6.96,5.72,1.24
14,2,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,7.69,5.72,1.97
